,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
124,0.4%,1.3%,12.4%,38.6%,47.3%,张国荣,387486,[' '],"['1994-09-17(中国大陆)', '1994-09-12(威尼斯电影节)']",王家卫,[' / '],东邪西毒 東邪西毒,8.6,王家卫,100分钟,"['剧情', '动作', '爱情', '武侠', '古装']"
125,0.3%,1.2%,14.5%,45.5%,38.5%,郭涛,489074,['\n        '],"['2006-06-30(中国大陆)', '2006-08-10(中国香港)']",宁浩,['\n        '],疯狂的石头,8.4,张承,106 分钟(香港),"['喜剧', '犯罪']"
126,0.2%,0.7%,9.3%,34.8%,55.0%,梅尔·吉布森,407936,[' '],"['1995-05-18(西雅图电影节)', '1995-05-24(美国)']",梅尔·吉布森,[' / '],勇敢的心 Braveheart,8.9,兰道尔·华莱士,177 分钟,"['剧情', '动作', '传记', '历史', '战争']"
127,0.2%,0.8%,9.6%,37.7%,51.7%,北野武,310004,['\n        '],"['1999-05-20(戛纳电影节)', '1999-06-05(日本)']",北野武,['\n        '],菊次郎的夏天 菊次郎の夏,8.8,北野武,121 分钟,"['剧情', '喜剧']"
128,0.1%,0.5%,10.1%,36.6%,52.7%,汤姆·汉克斯,303003,['\n        '],"['2010-06-16(中国大陆)', '2010-06-18(美国)']",李·昂克里奇,[' '],玩具总动员3 Toy Story 3,8.8,迈克尔·阿恩特,103分钟,"['喜剧', '动画', '奇幻', '冒险']"
129,0.1%,0.5%,12.1%,47.2%,40.1%,雷·罗马诺,404311,['\n        '],['2002-03-15(美国)'],卡洛斯·沙尔丹哈,['\n        '],冰川时代 Ice Age,8.5,迈克尔·伯格 ,81 分钟,"['喜剧', '动画', '冒险']"
130,0.1%,0.8%,13.9%,43.7%,41.6%,丹尼尔·雷德克里夫,296920,['\n        '],"['2004-09-10(中国大陆)', '2004-05-31(英国)']",阿方索·卡隆,['\n        '],哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,8.5,史蒂夫·克洛夫斯,141 分钟,"['剧情', '奇幻', '冒险']"
131,0.1%,0.7%,14.0%,45.4%,39.7%,丹尼尔·雷德克里夫,314865,['\n        '],"['2003-01-24(中国大陆)', '2002-11-15(英国/美国)']",克里斯·哥伦布,['\n        '],哈利·波特与密室 Harry Potter and the Chamber of Secrets,8.5,史蒂夫·克洛夫斯,161分钟,"['奇幻', '冒险']"
132,0.2%,0.8%,9.9%,37.6%,51.4%,沈恩京,403160,['\n        '],['2011-05-04(韩国)'],姜炯哲,['\n        '],阳光姐妹淘 써니,8.8,姜炯哲,124分钟,"['剧情', '喜剧']"
133,0.2%,0.6%,7.4%,33.6%,58.2%,桥本爱,247783,['\n        '],['2014-08-30(日本)'],森淳一,['\n        '],小森林 夏秋篇 リトル・フォレスト 夏・秋,9.0,森淳一,111分钟,['剧情']
134,0.6%,2.3%,17.0%,38.7%,41.4%,瑞恩·高斯林,533030,['\n        '],"['2017-02-14(中国大陆)', '2016-08-31(威尼斯电影节)', '2016-12-25(美国)']",达米恩·查泽雷,['\n        '],爱乐之城 La La Land,8.4,达米恩·查泽雷,128分钟,"['剧情', '爱情', '歌舞']"
135,0.2%,0.5%,6.9%,33.1%,59.3%,桥本爱,215115,['\n        '],['2015-02-14(日本)'],森淳一,['\n        '],小森林 冬春篇 リトル・フォレスト 冬・春,9.0,森淳一,120分钟,['剧情']
136,0.2%,1.0%,11.8%,37.5%,49.5%,艾米·波勒,365053,['\n        '],"['2015-10-06(中国大陆)', '2015-06-19(美国)']",彼特·道格特,['\n        '],头脑特工队 Inside Out,8.7,彼特·道格特,95分钟,"['喜剧', '动画', '冒险']"
137,0.3%,1.1%,10.4%,35.3%,52.9%,伊桑·霍克,352162,['\n        '],['1995-01-27(美国)'],理查德·林克莱特,['\n        '],爱在黎明破晓前 Before Sunrise,8.8,理查德·林克莱特,101分钟,"['剧情', '爱情']"
138,0.2%,0.6%,9.5%,40.7%,48.9%,河正宇,378870,['\n        '],['2013-07-31(韩国)'],金秉祐,['\n        '],恐怖直播 더 테러 라이브,8.8,金秉祐,97分钟,"['剧情', '悬疑', '犯罪']"
139,0.2%,0.8%,11.9%,45.4%,41.6%,娜塔莉·波特曼,577790,['\n        '],"['2010-09-01(威尼斯电影节)', '2010-12-17(美国)']",达伦·阿伦诺夫斯基,['\n        '],黑天鹅 Black Swan,8.5,安德雷斯·海因斯,108分钟,"['剧情', '惊悚']"
