,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
276,9.7%,28.9%,46.3%,11.9%,3.1%,岳云鹏,45091,['\n        '],"['2019-08-02(中国大陆)', '2019-06-16(上海电影节)']",束焕,['\n        '],鼠胆英雄,5.4,束焕,106分钟,['喜剧']
277,1.0%,8.6%,53.3%,28.6%,8.5%,克里斯·埃文斯,4030,['\n        '],"['2019-06-28(旧金山犹太电影节)', '2019-07-31(美国)']",吉迪恩·拉夫,['\n        '],红海潜水俱乐部 The Red Sea Diving Resort,6.7,吉迪恩·拉夫,129分钟,"['剧情', '惊悚', '历史']"
278,10.2%,30.9%,44.0%,11.6%,3.3%,张家辉,89188,['\n        '],"['2019-03-18(中国香港国际电影节)', '2019-08-16(中国大陆)', '2019-08-22(中国香港)']",雷尼·哈林,['\n        '],沉默的证人,5.3,吴孟璋,94分钟,"['动作', '犯罪']"
279,0.5%,4.4%,44.8%,42.6%,7.7%,薇薇安娜·阿普雷亚,1197,['\n        '],"['2019-02-12(柏林电影节)', '2019-02-14(意大利)']",克劳迪欧·吉瓦内斯,['\n        '],少年黑手党 La Paranza dei Bambini,7.0,毛里齐奥·布拉奇,110分钟,['剧情']
280,4.2%,13.6%,43.9%,27.1%,11.3%,黄晓明,195637,['\n        '],['2019-08-01(中国大陆)'],陈国辉,['\n        '],烈火英雄,6.6,于勇敢,120分钟,"['剧情', '灾难']"
281,3.4%,15.0%,50.8%,21.1%,9.6%,李俊昊,2639,['\n        '],['2019-07-10(韩国)'],南大中,['\n        '],妓房少爷 기방도령,6.4,南大中,110分钟,['爱情']
282,2.6%,5.9%,20.3%,34.1%,37.2%,芦田爱菜,1035,['\n        '],['2019-06-07(日本)'],渡边步,['\n        '],海兽之子 海獣の子供,8.0,五十岚大介,100分钟,"['动画', '奇幻', '冒险']"
283,18.4%,29.6%,26.0%,12.8%,13.3%,孟美岐,2063,['\n        '],['2019-07-26(中国大陆)'],袁文忠,[' '],舞出我人生之舞所不能,5.5,李威,91分钟,"['剧情', '爱情', '音乐', '歌舞']"
284,2.1%,13.3%,53.9%,23.6%,7.1%,大泉洋,1248,['\n        '],['2019-01-25(日本)'],深川荣洋,['\n        '],天空餐厅 そらのレストラン,6.4,深川荣洋,126分钟,['剧情']
285,0.5%,2.7%,34.6%,46.2%,15.9%,彭杏英,514,['\n        '],['2019-07-23(FIRST青年影展)'],黄梓,['\n        '],慕伶，一鸣，伟明,7.5,黄梓,110分钟,['剧情']
286,3.5%,9.4%,32.9%,30.6%,23.5%,任帅,533,['\n        '],['2018-04-27(中国大陆)'],高成岗,['\n        '],雪·葬,7.2,张园,105分钟,['剧情']
287,1.7%,7.3%,36.3%,42.3%,12.4%,李博光,919,['\n        '],['2019-07-21(FIRST青年影展)'],柴小雨,['\n        '],鱼乐园,7.1,柴小雨,106分钟,['剧情']
288,1.5%,5.1%,33.1%,44.6%,15.8%,莱昂纳多·迪卡普里奥,65033,['\n        '],"['2019(中国大陆)', '2019-05-21(戛纳电影节)', '2019-07-26(美国)']",昆汀·塔伦蒂诺,['\n        '],好莱坞往事 Once Upon a Time... in Hollywood,7.4,昆汀·塔伦蒂诺,165分钟,"['剧情', '喜剧']"
289,8.4%,30.6%,36.5%,16.5%,8.1%,铃木拡树,476,['\n        '],['2019-01-18(日本)'],耶云哉治,['\n        '],刀剑乱舞 电影版 映画刀剣乱舞,5.7,小林靖子,100分钟,"['动作', '历史', '奇幻']"
290,1.7%,11.4%,44.6%,31.4%,10.9%,刘陆,437,['\n        '],['2019-06-18(上海电影节)'],张翀,['\n        '],第四面墙,6.8,张翀,90分钟,['剧情']
291,1.0%,5.3%,40.3%,39.9%,13.4%,菲利普·拉肖,10517,['\n        '],"['2018-12-15(比克塞罗勒首映)', '2019-02-06(法国)']",菲利普·拉肖,['\n        '],城市猎人 Nicky Larson et le parfum de Cupidon,7.2,朱利安·阿鲁蒂,91分钟,"['喜剧', '动作', '犯罪']"
292,15.8%,33.8%,35.9%,10.8%,3.7%,艾伦,28760,['\n        '],['2019-07-26(中国大陆)'],林育贤,['\n        '],跳舞吧！大象,5.1,陈舒,114分钟,"['剧情', '喜剧']"
293,2.8%,10.6%,48.9%,27.1%,10.6%,松冈祯丞,829,['\n        '],['2019-02-15(日本)'],樱美胜志,['\n        '],在地下城寻求邂逅是否搞错了什么：俄里翁之箭 劇場版 ダンジョンに出会いを求めるのは間違っているだろうか ー オリオンの矢 ー,6.6,大森藤野,82分钟,['动画']
294,14.5%,26.1%,40.0%,13.9%,5.5%,王砚辉,524,['\n        '],"['2019-07-03(卡罗维发利国际电影节)', '2019-07-20(FIRST青年影展)']",翟义祥,['\n        '],马赛克少女,5.4,翟义祥,107分钟,"['剧情', '犯罪']"
295,1.2%,5.9%,24.3%,47.1%,21.5%,杜红军,1400,['\n        '],"['2020(中国大陆)', '2019-05-22(戛纳电影节)']",顾晓刚,['\n        '],春江水暖,7.6,顾晓刚,150分钟,['剧情']
296,0.7%,1.4%,15.4%,43.9%,38.5%,弗朗索瓦·西维尔,506,['\n        '],['2019-04-03(法国)'],雨果·热兰,['\n        '],再见钟情 Mon inconnue,8.4,雨果·热兰,118分钟,"['喜剧', '爱情']"
